filename,module_name,module_params,execution_time,retrieval_f1,retrieval_recall,retrieval_precision,is_best
0.parquet,BM25,"{'top_k': 5, 'bm25_tokenizer': 'space'}",0.0016095503171284994,0.23555555555555563,0.7066666666666667,0.1413333333333333,False
1.parquet,BM25,"{'top_k': 5, 'bm25_tokenizer': 'porter_stemmer'}",0.001329810619354248,0.3111111111111111,0.9333333333333333,0.18666666666666662,True
